FCSFileNames,Sample,Experiment,Tissue,Mouse Number,For_Vlookup,UniqueMouseID,Treatment,Timepoint,Sex,Hh Dose,NTHi Dose,NTHi MET CFUml,Log10(CFUml),Developed OM
EXP6_Lung_Mouse 4.fcs,CD45_EXP6_Lung_Mouse 4.fcs,6,Lung,4,6_4,32,Hh,24,M,4.17E+06,NA,NA,NA,NA
EXP6_Lung_Mouse 5.fcs,CD45_EXP6_Lung_Mouse 5.fcs,6,Lung,5,6_5,33,Pam10ug,24,F,NA,NA,NA,NA,NA
EXP6_Lung_Mouse 6.fcs,CD45_EXP6_Lung_Mouse 6.fcs,6,Lung,6,6_6,34,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 1.fcs,CD45_EXP6_Nasal Tissue_Mouse 1.fcs,6,Nasal Tissue,1,6_1,29,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 2.fcs,CD45_EXP6_Nasal Tissue_Mouse 2.fcs,6,Nasal Tissue,2,6_2,30,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 3.fcs,CD45_EXP6_Nasal Tissue_Mouse 3.fcs,6,Nasal Tissue,3,6_3,31,Hh,24,F,4.17E+06,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 4.fcs,CD45_EXP6_Nasal Tissue_Mouse 4.fcs,6,Nasal Tissue,4,6_4,32,Hh,24,M,4.17E+06,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 5.fcs,CD45_EXP6_Nasal Tissue_Mouse 5.fcs,6,Nasal Tissue,5,6_5,33,Pam10ug,24,F,NA,NA,NA,NA,NA
EXP6_Nasal Tissue_Mouse 6.fcs,CD45_EXP6_Nasal Tissue_Mouse 6.fcs,6,Nasal Tissue,6,6_6,34,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP6_Spleen_Mouse 1.fcs,CD45_EXP6_Spleen_Mouse 1.fcs,6,Spleen,1,6_1,29,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Spleen_Mouse 2.fcs,CD45_EXP6_Spleen_Mouse 2.fcs,6,Spleen,2,6_2,30,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Spleen_Mouse 3.fcs,CD45_EXP6_Spleen_Mouse 3.fcs,6,Spleen,3,6_3,31,Hh,24,F,4.17E+06,NA,NA,NA,NA
EXP6_Spleen_Mouse 4.fcs,CD45_EXP6_Spleen_Mouse 4.fcs,6,Spleen,4,6_4,32,Hh,24,M,4.17E+06,NA,NA,NA,NA
EXP6_Spleen_Mouse 5.fcs,CD45_EXP6_Spleen_Mouse 5.fcs,6,Spleen,5,6_5,33,Pam10ug,24,F,NA,NA,NA,NA,NA
EXP6_Spleen_Mouse 6.fcs,CD45_EXP6_Spleen_Mouse 6.fcs,6,Spleen,6,6_6,34,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP7_Lung_Mouse 1.fcs,CD45_EXP7_Lung_Mouse 1.fcs,7,Lung,1,7_1,35,Saline,2,M,NA,NA,NA,NA,NA
EXP7_Lung_Mouse 2.fcs,CD45_EXP7_Lung_Mouse 2.fcs,7,Lung,2,7_2,36,Saline,2,F,NA,NA,NA,NA,NA
EXP7_Lung_Mouse 3.fcs,CD45_EXP7_Lung_Mouse 3.fcs,7,Lung,3,7_3,37,Hh,2,M,2.17E+06,NA,NA,NA,NA
EXP7_Lung_Mouse 4.fcs,CD45_EXP7_Lung_Mouse 4.fcs,7,Lung,4,7_4,38,Hh,2,F,2.17E+06,NA,NA,NA,NA
EXP7_Lung_Mouse 5.fcs,CD45_EXP7_Lung_Mouse 5.fcs,7,Lung,5,7_5,39,Pam1ug,2,M,NA,NA,NA,NA,NA
