"","Cell_ID","Tissue","Timepoint","Treatment1","Treatment2","ratio","SE","df","null","p.value","significance"
"126","Neutrophils","Nasal Tissue","144","Pam1ug+NTHi","Saline+NTHi",1.30989508825722,0.414205862186111,Inf,1,0.985904149039589,""
"127","Neutrophils","Nasal Tissue","144","Saline","Saline+IAV",0.961336979544894,0.30351849624115,Inf,1,0.985904149039589,""
"128","Neutrophils","Nasal Tissue","144","Saline","Saline+IAV+NTHi",0.945741409057433,0.29889244829985,Inf,1,0.985904149039589,""
"129","Neutrophils","Nasal Tissue","144","Saline","Saline+NTHi",1.05964625089765,0.334749005041092,Inf,1,0.985904149039589,""
"130","Neutrophils","Nasal Tissue","144","Saline+IAV","Saline+IAV+NTHi",0.983777207348411,0.310798206421742,Inf,1,0.985904149039589,""
"131","Neutrophils","Nasal Tissue","144","Saline+IAV","Saline+NTHi",1.10226307054087,0.348083023141211,Inf,1,0.985904149039589,""
"132","Neutrophils","Nasal Tissue","144","Saline+IAV+NTHi","Saline+NTHi",1.12043973199158,0.354175030559452,Inf,1,0.985904149039589,""
"133","Neutrophils","Spleen","144","Hh","Hh+IAV",0.84046409931306,0.269038852248113,Inf,1,0.668814484974588,""
"134","Neutrophils","Spleen","144","Hh","Hh+IAV+NTHi",0.693303536509084,0.223062396671779,Inf,1,0.410370479258067,""
"135","Neutrophils","Spleen","144","Hh","Hh+NTHi",2.04743241253213,0.659768677027382,Inf,1,0.0719539611891047,""
"136","Neutrophils","Spleen","144","Hh","Pam1ug",1.09870022769808,0.35249563355256,Inf,1,0.832276116870888,""
"137","Neutrophils","Spleen","144","Hh","Pam1ug+IAV",0.808021253650277,0.25846519855926,Inf,1,0.651445036206779,""
"138","Neutrophils","Spleen","144","Hh","Pam1ug+IAV+NTHi",0.672215080142302,0.215886742204159,Inf,1,0.356724118607926,""
"139","Neutrophils","Spleen","144","Hh","Pam1ug+NTHi",2.53679652382799,0.819205343905799,Inf,1,0.0144578240217849,"*"
"140","Neutrophils","Spleen","144","Hh","Saline",1.30756435700484,0.42049416889126,Inf,1,0.593039111705804,""
"141","Neutrophils","Spleen","144","Hh","Saline+IAV",0.854182373952988,0.273374350484271,Inf,1,0.695812844611764,""
"142","Neutrophils","Spleen","144","Hh","Saline+IAV+NTHi",0.564468646699237,0.181528783976032,Inf,1,0.160451049608603,""
"143","Neutrophils","Spleen","144","Hh","Saline+NTHi",2.58160142610359,0.836782754769422,Inf,1,0.0141637677077947,"*"
"144","Neutrophils","Spleen","144","Hh+IAV","Hh+IAV+NTHi",0.824905593321291,0.264367016710876,Inf,1,0.668814484974588,""
"145","Neutrophils","Spleen","144","Hh+IAV","Hh+NTHi",2.43607361005136,0.78191401434021,Inf,1,0.0192328466621055,"*"
"146","Neutrophils","Spleen","144","Hh+IAV","Pam1ug",1.30725420466631,0.417745194817822,Inf,1,0.593039111705804,""
"147","Neutrophils","Spleen","144","Hh+IAV","Pam1ug+IAV",0.961398891767893,0.30630547072695,Inf,1,0.944602180811098,""
"148","Neutrophils","Spleen","144","Hh+IAV","Pam1ug+IAV+NTHi",0.799814151124034,0.255855814984636,Inf,1,0.651445036206779,""
"149","Neutrophils","Spleen","144","Hh+IAV","Pam1ug+NTHi",3.01832823781694,0.970898713064537,Inf,1,0.00310744555074621,"**"
"150","Neutrophils","Spleen","144","Hh+IAV","Saline",1.55576467581846,0.498342793227396,Inf,1,0.307373746711474,""
"151","Neutrophils","Spleen","144","Hh+IAV","Saline+IAV",1.01632226129723,0.323970115601715,Inf,1,0.959492101031996,""
"152","Neutrophils","Spleen","144","Hh+IAV","Saline+IAV+NTHi",0.671615417196994,0.215137883628347,Inf,1,0.356724118607926,""
"153","Neutrophils","Spleen","144","Hh+IAV","Saline+NTHi",3.07163795361827,0.991764638616917,Inf,1,0.00310744555074621,"**"
"154","Neutrophils","Spleen","144","Hh+IAV+NTHi","Hh+NTHi",2.95315443339774,0.952729640865472,Inf,1,0.00347242279458623,"**"
"155","Neutrophils","Spleen","144","Hh+IAV+NTHi","Pam1ug",1.58473189568634,0.509020552654676,Inf,1,0.294555950402423,""
"156","Neutrophils","Spleen","144","Hh+IAV+NTHi","Pam1ug+IAV",1.16546535694714,0.373238027218897,Inf,1,0.695812844611764,""
"157","Neutrophils","Spleen","144","Hh+IAV+NTHi","Pam1ug+IAV+NTHi",0.969582649941514,0.311749187482515,Inf,1,0.952322640949541,""
"158","Neutrophils","Spleen","144","Hh+IAV+NTHi","Pam1ug+NTHi",3.65899838994222,1.18295350030287,Inf,1,0.000608130281209181,"***"
"159","Neutrophils","Spleen","144","Hh+IAV+NTHi","Saline",1.88599118300863,0.607209892242942,Inf,1,0.110990452915727,""
"160","Neutrophils","Spleen","144","Hh+IAV+NTHi","Saline+IAV",1.23204675726012,0.394768164482641,Inf,1,0.651445036206779,""
"161","Neutrophils","Spleen","144","Hh+IAV+NTHi","Saline+IAV+NTHi",0.814172461230249,0.262134315394781,Inf,1,0.651445036206779,""
"162","Neutrophils","Spleen","144","Hh+IAV+NTHi","Saline+NTHi",3.72362362249362,1.20832461908263,Inf,1,0.000608130281209181,"***"
"163","Neutrophils","Spleen","144","Hh+NTHi","Pam1ug",0.536623441620367,0.172627829939576,Inf,1,0.116592639225298,""
"164","Neutrophils","Spleen","144","Hh+NTHi","Pam1ug+IAV",0.394651002252606,0.126582656029562,Inf,1,0.0144578240217849,"*"
"165","Neutrophils","Spleen","144","Hh+NTHi","Pam1ug+IAV+NTHi",0.328321011246935,0.105728722688819,Inf,1,0.00310744555074621,"**"
"166","Neutrophils","Spleen","144","Hh+NTHi","Pam1ug+NTHi",1.23901356074101,0.401177252056548,Inf,1,0.651445036206779,""
"167","Neutrophils","Spleen","144","Hh+NTHi","Saline",0.638636151797424,0.205927894106407,Inf,1,0.307373746711474,""
"168","Neutrophils","Spleen","144","Hh+NTHi","Saline+IAV",0.41719686018675,0.13388055373351,Inf,1,0.0212734284114601,"*"
"169","Neutrophils","Spleen","144","Hh+NTHi","Saline+IAV+NTHi",0.275695863386835,0.0889007478086793,Inf,1,0.000608130281209181,"***"
"170","Neutrophils","Spleen","144","Hh+NTHi","Saline+NTHi",1.2608970192627,0.409780140579798,Inf,1,0.651445036206779,""
"171","Neutrophils","Spleen","144","Pam1ug","Pam1ug+IAV",0.735433772816435,0.234845537530262,Inf,1,0.515555611692148,""
"172","Neutrophils","Spleen","144","Pam1ug","Pam1ug+IAV+NTHi",0.611827560599198,0.196162079413454,Inf,1,0.258699343847837,""
"173","Neutrophils","Spleen","144","Pam1ug","Pam1ug+NTHi",2.30890688822637,0.744359255630311,Inf,1,0.0270987992801574,"*"
"174","Neutrophils","Spleen","144","Pam1ug","Saline",1.19010110678174,0.382071872310694,Inf,1,0.668814484974588,""
"175","Neutrophils","Spleen","144","Pam1ug","Saline+IAV",0.777448072203106,0.248388302757902,Inf,1,0.618011654860102,""
"176","Neutrophils","Spleen","144","Pam1ug","Saline+IAV+NTHi",0.51376038019203,0.164942995396141,Inf,1,0.0939239791601823,""
